Word,Occurrence
the,731
and,577
to,382
of,368
i,326
macbeth,283
a,244
that,233
in,205
you,202
my,192
is,188
not,167
with,155
it,153
his,152
be,135
your,127
but,122
have,122
for,121
our,118
he,117
me,111
macduff,109
what,103
this,102
so,100
all,100
lady,98
as,95
him,89
thou,88
we,87
are,83
do,83
which,80
will,73
they,72
banquo,69
shall,67
no,66
by,63
upon,61
thee,61
on,60
malcolm,59
their,59
yet,57
from,56
us,55
ross,52
first,52
now,52
or,51
time,51
at,51
witch,50
come,50
good,50
thy,50
hath,50
them,50
more,49
would,47
was,45
well,44
who,42
if,42
should,41
her,41
did,41
when,40
like,40
say,40
there,39
were,39
enter,39
make,39
lord,38
duncan,37
o,36
here,36
ill,36
tis,36
lennox,35
man,35
may,35
done,35
must,35
fear,35
then,35
let,35
had,34
murtherer,34
king,33
where,33
know,33
how,33
why,32
